name,id,uri,owner,track_count
Det dansk det bedst,2QU1c5E1PCGaOG09vXxdIE,spotify:playlist:2QU1c5E1PCGaOG09vXxdIE,Thorbjørn Larsen,194
50's - 60's,2DDjDm34BBjHkEHnx41btg,spotify:playlist:2DDjDm34BBjHkEHnx41btg,Thorbjørn Larsen,95
Crème de la crème,7Cpnz2ZAq1cOiruxLtreL0,spotify:playlist:7Cpnz2ZAq1cOiruxLtreL0,Thorbjørn Larsen,36
NIH - Ultimate,2MUdxWG7chGZWr8J1BudKy,spotify:playlist:2MUdxWG7chGZWr8J1BudKy,Thorbjørn Larsen,79
Lingua Franca,14fOR6RZUsPpCZssVMUeK7,spotify:playlist:14fOR6RZUsPpCZssVMUeK7,Thorbjørn Larsen,63
Origin,3F21myOYXyCRLPGtuoALQb,spotify:playlist:3F21myOYXyCRLPGtuoALQb,Thorbjørn Larsen,789
Serenity,2si9QHdQsiGqWqJ36sm9af,spotify:playlist:2si9QHdQsiGqWqJ36sm9af,Thorbjørn Larsen,137
Blues,1KY05aQJYr0rgdNjWsSUE8,spotify:playlist:1KY05aQJYr0rgdNjWsSUE8,Thorbjørn Larsen,18
Soul,2XYHAtDERzbw9sCazvjY8p,spotify:playlist:2XYHAtDERzbw9sCazvjY8p,Thorbjørn Larsen,10
"Rip, Rap & Rup",31OAJLos9AJejkVHkx22SS,spotify:playlist:31OAJLos9AJejkVHkx22SS,Thorbjørn Larsen,4
Backup,4scXszKyPSHBuJJvgYk0HA,spotify:playlist:4scXszKyPSHBuJJvgYk0HA,Thorbjørn Larsen,789
Classical Rap,4uZYzgBGR5gN4agirmgWqD,spotify:playlist:4uZYzgBGR5gN4agirmgWqD,Thorbjørn Larsen,14
2010s,017l20nyZmByV5Q70Pi3VR,spotify:playlist:017l20nyZmByV5Q70Pi3VR,Thorbjørn Larsen,47
2000s,4iplIZHnpyw7e9ktJwHJrP,spotify:playlist:4iplIZHnpyw7e9ktJwHJrP,Thorbjørn Larsen,295
90s,267BDVtfnmavXKwy6Wt89Q,spotify:playlist:267BDVtfnmavXKwy6Wt89Q,Thorbjørn Larsen,1
Børnesange,00GtDSSB7MC16XF5vrLJxW,spotify:playlist:00GtDSSB7MC16XF5vrLJxW,Thorbjørn Larsen,13
Disney+,5BX3ltiPoxpNCW342iavVH,spotify:playlist:5BX3ltiPoxpNCW342iavVH,Thorbjørn Larsen,21
Classic Songs,67C6oP2DckL7mttZGPeku9,spotify:playlist:67C6oP2DckL7mttZGPeku9,Thorbjørn Larsen,582
European Songs,6kBsnFGJaKlo2IAVi4yTtn,spotify:playlist:6kBsnFGJaKlo2IAVi4yTtn,Thorbjørn Larsen,83
